"","Id","Label","timeset","household","clustering"
"1",0,"A",NA,1,0.333333333333333
"2",1,"B",NA,1,0.333333333333333
"3",2,"C",NA,1,1
"4",3,"D",NA,2,0.5
"5",4,"E",NA,2,1
"6",5,"F",NA,2,0.5
"7",6,"G",NA,2,0.666666666666667
"8",7,"H",NA,3,0.357142857142857
"9",8,"I",NA,3,0.6
"10",9,"J",NA,3,0.8
"11",10,"K",NA,4,0.533333333333333
"12",11,"L",NA,4,1
"13",12,"M",NA,4,1
"14",13,"N",NA,4,0.5
"15",14,"O",NA,4,0.285714285714286
"16",15,"P",NA,5,0.666666666666667
"17",16,"Q",NA,5,0.4
"18",17,"R",NA,5,0.666666666666667
"19",18,"S",NA,5,0.4
"20",19,"T",NA,6,0.333333333333333
"21",20,"U",NA,6,0.333333333333333
"22",21,"V",NA,6,0.666666666666667
"23",22,"W",NA,6,0.333333333333333
"24",23,"X",NA,7,0.8
"25",24,"Y",NA,7,0.666666666666667
"26",25,"Z",NA,7,0.666666666666667
