Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,171,,,1
0,2,Undirected,172,,,1
1,2,Undirected,173,,,1
3,4,Undirected,174,,,1
3,5,Undirected,175,,,1
3,6,Undirected,176,,,1
4,5,Undirected,177,,,1
4,6,Undirected,178,,,1
5,6,Undirected,179,,,1
7,8,Undirected,180,,,1
7,9,Undirected,181,,,1
9,8,Undirected,182,,,1
10,11,Undirected,183,,,1
10,12,Undirected,184,,,1
10,13,Undirected,185,,,1
10,14,Undirected,186,,,1
11,12,Undirected,187,,,1
11,13,Undirected,188,,,1
11,14,Undirected,189,,,1
12,13,Undirected,190,,,1
12,14,Undirected,191,,,1
13,14,Undirected,192,,,1
15,16,Undirected,193,,,1
15,17,Undirected,194,,,1
15,18,Undirected,195,,,1
16,17,Undirected,196,,,1
16,18,Undirected,197,,,1
17,18,Undirected,198,,,1
19,20,Undirected,199,,,1
19,21,Undirected,200,,,1
19,22,Undirected,201,,,1
20,21,Undirected,202,,,1
20,22,Undirected,203,,,1
21,22,Undirected,204,,,1
23,24,Undirected,205,,,1
23,25,Undirected,206,,,1
24,25,Undirected,207,,,1
7,4,Undirected,208,,,1
24,3,Undirected,209,,,1
18,14,Undirected,210,,,1
2,3,Undirected,211,,,1
9,3,Undirected,212,,,1
18,3,Undirected,213,,,1
18,6,Undirected,214,,,1
22,8,Undirected,215,,,1
8,19,Undirected,216,,,1
7,22,Undirected,217,,,1
9,20,Undirected,218,,,1
24,24,Undirected,219,,,1
24,9,Undirected,220,,,1
10,10,Undirected,221,,,1
18,18,Undirected,222,,,1
18,10,Undirected,223,,,1
13,16,Undirected,224,,,1
17,13,Undirected,225,,,1
11,1,Undirected,226,,,1
11,6,Undirected,227,,,1
11,9,Undirected,228,,,1
24,24,Undirected,229,,,1
24,15,Undirected,230,,,1
